Comment	CommentID	CreateTimeStamp	Type	videoID	videoTitle
BJ Davis ok thx	UgySL6fTRIIiqWdtVSN4AaABAg.8lMB78w8LYE8nq3SfVDPct	2018-11-19T16:08:18.000Z	Reply	BGhN9LmGNOE	Oculus Go vs Samsung Gear VR
DR SAVAGE I got my VR Gear used for so the O Go seems pretty spendy comparatively I m hoping to try one out before dropping that much	UgySL6fTRIIiqWdtVSN4AaABAg.8lMB78w8LYE8nq2z_qLJWA	2018-11-19T16:04:12.000Z	Reply	BGhN9LmGNOE	Oculus Go vs Samsung Gear VR
same here its been months since ur post did u buy the go if u did is it better or about the same	UgySL6fTRIIiqWdtVSN4AaABAg.8lMB78w8LYE8npldTQ4qpY	2018-11-19T13:23:54.000Z	Reply	BGhN9LmGNOE	Oculus Go vs Samsung Gear VR
souck I have the gb alot	UgykNERpjFeYGpVqjvV4AaABAg.8lM55awGK2P8nS-dw2XIEN	2018-11-09T22:34:01.000Z	Reply	BGhN9LmGNOE	Oculus Go vs Samsung Gear VR
How do you hook up an LG phone to the gear vr	UgzZ6hAEJIFvEQdmjeR4AaABAg	2018-12-05T15:34:51.000Z	Comment	h2kJpeZ-ez8	How To Setup Samsung Gear VR Headset By Oculus
Can I use my Samsung Galaxy J star with it	UgzeRe_0zb9lFVcr2OR4AaABAg	2018-12-03T02:15:08.000Z	Comment	h2kJpeZ-ez8	How To Setup Samsung Gear VR Headset By Oculus
Would it work with Galaxy A If so I wanna get it for my Mom to introduce her to VR	Ugz_VlSml5llPE38m294AaABAg	2018-11-26T04:36:42.000Z	Comment	h2kJpeZ-ez8	How To Setup Samsung Gear VR Headset By Oculus
I am having a problem with the phone It will not switch to the vr home app when i insert it into the gear vr I have got messages with this check the video card and re install it make sure the proximity switch is not blocked Usually i hear two noises when the program loads Now i only hear one Oh one time i got a pop up saying i haven t bought any thing from the store yet Well there are so many free programs i did not think of spending grocier money	UgwpUJY0X9b4DIBVDsF4AaABAg	2018-11-25T02:42:51.000Z	Comment	h2kJpeZ-ez8	How To Setup Samsung Gear VR Headset By Oculus
Can I use that headset with other smartphones like infinix	Ugx65a3JtNovknFkffp4AaABAg	2018-11-20T22:36:06.000Z	Comment	h2kJpeZ-ez8	How To Setup Samsung Gear VR Headset By Oculus
Can gear vr also be used without phone Can movies be downloaded into vr goggles	Ugwzpkka1cAjvNi13XV4AaABAg	2018-11-17T00:04:39.000Z	Comment	h2kJpeZ-ez8	How To Setup Samsung Gear VR Headset By Oculus
The video was spr cool broo bt it was copmacatble for j max	UgyCDU_PXynrm9NqkN14AaABAg	2018-11-11T09:38:34.000Z	Comment	h2kJpeZ-ez8	How To Setup Samsung Gear VR Headset By Oculus
That was a smooth and very helpful video In addition your voice and attitude are very well suited to this type of thing Soothing friendly and approachable Great job and thank you very much for your advice	UgznVNmOnbvl5l3a0Tx4AaABAg	2018-11-01T10:57:33.000Z	Comment	h2kJpeZ-ez8	How To Setup Samsung Gear VR Headset By Oculus
Does it work for Samsung j	UgwZYb2FnCzLZTtwoCh4AaABAg	2018-10-13T18:50:50.000Z	Comment	h2kJpeZ-ez8	How To Setup Samsung Gear VR Headset By Oculus
Can I setup again same vr in s which is already setup in s edge	UgxcCR_EO2d3zgmeNB14AaABAg	2018-09-20T03:57:00.000Z	Comment	h2kJpeZ-ez8	How To Setup Samsung Gear VR Headset By Oculus
Be nice if he blinked	Ugz60CkQ3rKGb9v63uh4AaABAg	2018-08-31T08:06:25.000Z	Comment	h2kJpeZ-ez8	How To Setup Samsung Gear VR Headset By Oculus
how can I connect this VR with Samsung galaxy A	Ugyl8FoaGx2JZMBjEYV4AaABAg	2018-08-28T06:54:27.000Z	Comment	h2kJpeZ-ez8	How To Setup Samsung Gear VR Headset By Oculus
im mad i doesn ts work for lg	UgzIERw2b5yIHNuc1MB4AaABAg	2018-08-12T03:26:09.000Z	Comment	h2kJpeZ-ez8	How To Setup Samsung Gear VR Headset By Oculus
How do you like click stuff	Ugz2ZtSD5KmMNb6acCd4AaABAg	2018-07-14T17:34:44.000Z	Comment	h2kJpeZ-ez8	How To Setup Samsung Gear VR Headset By Oculus
Thku helpful vid	UgwRaz0s0f-TFtB-V9l4AaABAg	2018-07-12T20:04:39.000Z	Comment	h2kJpeZ-ez8	How To Setup Samsung Gear VR Headset By Oculus
